import time: self [us] | cumulative | imported package
import time:      2199 |      12068 |               fastapi._compat.shared
import time:      1848 |       1848 |                 fastapi.openapi.constants
import time:      5438 |       7286 |               fastapi._compat.v2
import time:      1629 |      20982 |             fastapi._compat
import time:      1899 |       1899 |             fastapi.logger
import time:      1860 |       1860 |               email_validator.exceptions
import time:       974 |        974 |               email_validator.types
import time:      2403 |       2403 |                 unicodedata
import time:     36650 |      36650 |                   email_validator.rfc_constants
import time:      1981 |       1981 |                       idna.idnadata
import time:      1617 |       1617 |                       idna.intranges
import time:      2790 |       6387 |                     idna.core
import time:      1249 |       1249 |                     idna.package_data
import time:      3382 |      11017 |                   idna
import time:      2177 |      49842 |                 email_validator.syntax
import time:      1954 |      54198 |               email_validator.validate_email
import time:      5823 |       5823 |               email_validator.version
import time:      4372 |      67224 |             email_validator
import time:       337 |        337 |               importlib.metadata._text
import time:       491 |        828 |             importlib.metadata._adapters
import time:      2036 |       2036 |               email.feedparser
import time:       709 |       2744 |             email.parser
import time:    177029 |     273560 |           fastapi.openapi.models
import time:      1880 |       1880 |           fastapi.datastructures
import time:      5461 |     621532 |         fastapi.params
import time:      1561 |       1561 |           fastapi.dependencies
import time:       834 |        834 |                 fastapi.security.base
import time:      2220 |       2220 |                   http.cookies
import time:      1834 |       1834 |                   starlette._utils
import time:      2309 |       2309 |                           python_multipart.exceptions
import time:      1825 |       4134 |                         python_multipart.decoders
import time:      3635 |       7768 |                       python_multipart.multipart
import time:      4120 |      11888 |                     python_multipart
import time:      3031 |      14919 |                   starlette.formparsers
import time:      2898 |      21869 |                 starlette.requests
import time:      1554 |      24256 |               fastapi.security.api_key
import time:      1593 |       1593 |                 fastapi.security.utils
import time:      5021 |       6614 |               fastapi.security.http
import time:      3876 |       3876 |                 fastapi.param_functions
import time:      5066 |       8941 |               fastapi.security.oauth2
import time:      1437 |       1437 |               fastapi.security.open_id_connect_url
import time:      1846 |      43092 |             fastapi.security
import time:        79 |      43170 |           fastapi.security.base
import time:      3858 |      48588 |         fastapi.dependencies.models
import time:       939 |        939 |             starlette.background
import time:      1580 |       2519 |           fastapi.background
import time:      1482 |       1482 |           fastapi.concurrency
import time:      1066 |       1066 |           fastapi.utils
import time:      3464 |       3464 |               _hashlib
import time:      1878 |       1878 |               _blake2
import time:       962 |       6303 |             hashlib
import time:       157 |        157 |               _winapi
import time:       122 |        122 |               winreg
import time:       690 |        968 |             mimetypes
import time:      2289 |       2289 |               hmac
import time:       392 |       2680 |             secrets
import time:      2204 |      12153 |           starlette.responses
import time:      1819 |       1819 |           starlette.websockets
import time:      4899 |      23936 |         fastapi.dependencies.utils
import time:       960 |        960 |             colorsys
import time:      2647 |       3607 |           pydantic.color
import time:       186 |        186 |             pydantic_extra_types
import time:        61 |        247 |           pydantic_extra_types.color
import time:      2049 |       5901 |         fastapi.encoders
import time:      3781 |       3781 |         fastapi.sse
import time:      1391 |       1391 |           starlette._exception_handler
import time:      2084 |       2084 |           starlette.convertors
import time:      1817 |       1817 |           starlette.middleware
import time:      4662 |       9953 |         starlette.routing
import time:      6990 |    1167115 |       fastapi.routing
import time:       673 |        673 |         fastapi.websockets
import time:      1440 |       2112 |       fastapi.exception_handlers
import time:      1597 |       1597 |         fastapi.middleware
import time:      4193 |       5789 |       fastapi.middleware.asyncexitstack
import time:      1960 |       1960 |       fastapi.openapi.docs
import time:      1569 |       1569 |         http.client
import time:      2838 |       2838 |         fastapi.responses
import time:      1921 |       6327 |       fastapi.openapi.utils
import time:      1619 |       1619 |             html.entities
import time:       778 |       2397 |           html
import time:      2232 |       4628 |         starlette.middleware.errors
